id,name,brand,category,image,alt
1,Littmann Classic III Stethoscope,3M Littmann,Diagnostics,,Littmann Classic III Stethoscope in black
3,High-Speed Lab Centrifuge,Thermo Fisher,Laboratory,https://drive.google.com/file/d/1t5rVKgIcUapjONVqbItr1VbbaLVtUoaJ/view?usp=drive_link,Thermo Fisher high-speed lab centrifuge
4,Portable 12-Lead ECG Monitor,Mindray,Monitoring,https://drive.google.com/file/d/1xPuGTutLxeTJC-vobezHxQbVBpULgSG4/view?usp=drive_link,Mindray portable 12-lead ECG monitor
2,Digital Pulse Oximeter,Masimo,Monitoring,https://drive.google.com/file/d/18cVgE-uXhIQ7xQgX3bA2ir-jYUngKPNS/view?usp=drive_link,Masimo digital pulse oximeter
19,Pulse Oximeter Edan H100B,Edan,Monitoring,https://drive.google.com/file/d/1jOEvcpPozL0FriLXwDf9hYmlQiuU59w8/view?usp=drive_link,Edan H100B pulse oximeter
20,Pulse Oximeter Contec CMS60D,Contec,Monitoring,https://drive.google.com/file/d/1WEj6Fg3p9Qa8DL0LmcKQiYhhyOjlcCz8/view?usp=drive_link,Contec CMS60D pulse oximeter
21,Handheld Pulse Oximeter,Generic,Monitoring,https://drive.google.com/file/d/1B261hKPbPPBAdDq8aBAnUbdXEKZGAcW_/view?usp=drive_link,Handheld pulse oximeter for mobile monitoring
22,Fingertip Pulse Oximeter (Benemed BX-11),Benemed,Monitoring,,Benemed BX-11 fingertip pulse oximeter
23,Infrared Thermometer Berrcom,Berrcom,Diagnostics,https://drive.google.com/file/d/1wzLKGi5nS68U3_-5KBCc6rkGa3NHQ9Jc/view?usp=drive_link,Berrcom non-contact infrared thermometer
24,Infrared Thermometer Wiselion,Wiselion,Diagnostics,https://drive.google.com/file/d/1ry_1-N4Mvnt8I111OxH5umlRvyYGFz61/view?usp=drive_link,Wiselion infrared thermometer
25,Digital BP Monitor,Omron,Diagnostics,https://drive.google.com/file/d/1eD-S-i05_23M1hMRIL9L3clif-k_KfRf/view?usp=drive_link,Omron digital blood pressure monitor
26,BP Machine Armstyle,Generic,Diagnostics,https://drive.google.com/file/d/19uiwS6-cY2DSMFfz2UKaV8PTeGZTivj3/view?usp=drive_link,Arm-style blood pressure machine
27,BP Machine Wrist (CK-101S),CK,Diagnostics,https://drive.google.com/file/d/1tLDoV_DxPx3w4JTon7rWURxsX9H2g0fF/view?usp=drive_link,CK-101S wrist blood pressure machine
28,BP Machine Wrist (CK-W132),CK,Diagnostics,https://drive.google.com/file/d/1tLDoV_DxPx3w4JTon7rWURxsX9H2g0fF/view?usp=drive_link,CK-W132 wrist blood pressure machine
29,Blood Glucose Monitor Gluconavii,Gluconavii,Diagnostics,https://drive.google.com/file/d/1K0jH3xTFE4Wexzs_BA5JNHpwCEnqgyVl/view?usp=drive_link,Gluconavii blood glucose monitor
30,Quantum Analyzer Gold,Quantum,Diagnostics,https://drive.google.com/file/d/1GhVrA7I0wp5joJ-jpVnTsdCwMBWxM3HS/view?usp=drive_link,Gold Quantum resonance magnetic analyzer
31,Quantum Analyzer Black,Quantum,Diagnostics,https://drive.google.com/file/d/1FD8-PO6vpSgvPTUTC3n44A_6fOzLs_F_/view?usp=drive_link,Black Quantum resonance magnetic analyzer
